user_name,user_id,user_location,msg_content
挖白菜学妹,3487651810,北京 东城区,"【天猫】韩版高腰显瘦a字牛仔短裙
【价格】原价49.9元，券后29.9元
【抢券】http://t.cn/RiXcptZ 
【下单】http://t.cn/RiXc6WB 
【推荐理由】甜美减龄，穿着时尚个性，a字版型显瘦，修饰大长腿~ ​"
天这么大大大,5982246107,福建 厦门,单曲循环快一天，@M鹿M 这首新歌http://t.cn/RibTuPT 简直太对我口了，好听！[二哈]#亚洲新歌榜# ​
晶晶菇凉啊,1250927340,浙江 湖州,又想吃蛋糕 ​
流浪的冷霜,5268165460,海南 海口,∮♤☏☏☏☏☏☏ 日本人一夜最多能嘿嘿几次？[爱你][挤眼] ​
东厘云夏,2158538685,广东 中山,我刚换了“留沙”模板，好漂亮，你们都快来试试！ http://weibo.com/home?skinId=skin021 ​
廉址愿辈,5748642790,陕西,每颗心的寂寞，每颗心的脆弱都渴望被触摸。[害羞] ​
南瓜车哟,5299098166,新疆 乌鲁木齐,生日快乐。 ​
L-飘啊飘,5681752466,其他,最危险的事莫过于把闹钟关掉后，又闭上了眼睛。这是目前人类唯一可实行的穿越方法，闭眼5秒钟就能抵达2个小时后的未来。 ​
容膝室柠檬仙子,1793651095,广东 梅州,#主页君谁最diao#随手一抽，红包到手！我刚刚抽到了雕牌雕兄说 的现金红包！这只是个开始，据说还有高达200元的大红包呢！ 不说了，我继续抽红包去了！http://t.cn/RiXo6Sj ​
用户6140036091,6140036091,广东 韶关,#唱吧#推荐你听🌺牡丹花🌺🌺和💖美之音💖mm合唱的这首《女儿情【粤语版】》，唱得真不错>>http://t.cn/RiJldfL (来自@唱吧) ​
